"DIN","status","name","description","atc_number(s)","atc(s)"
"02230618","approved","DOM-AMOXICILLIN","DOM-AMOXICILLIN (AMOXICILLIN (AMOXICILLIN TRIHYDRATE) 250MG)","J01CA04","AMOXICILLIN"
"02230712","approved","SHEN QI DA BU WAN","SHEN QI DA BU WAN (CODONOPSIS 625MG)","",""
"02230865","approved","WHITE-FACED HORNET VENOM PROTEIN MULTIUSE 13.0 ML (1300MCG)","WHITE-FACED HORNET VENOM PROTEIN MULTIUSE 13.0 ML (1300MCG) (WHITE FACED HORNET VENOM PROTEIN 1300MCG)","V01AA07","INSECTS"
"02230936","approved","ALKA-KLENSE CAPSULES","ALKA-KLENSE CAPSULES (PLANTAGO SEED 500MG)","",""
"02230943","approved","OXYBUTYNIN SYRUP","OXYBUTYNIN SYRUP (OXYBUTYNIN CHLORIDE 1MG)","G04BD04","OXYBUTYNIN"
"02231059","approved","DOM-TIAPROFENIC","DOM-TIAPROFENIC (TIAPROFENIC ACID 200MG)","M01AE11","TIAPROFENIC ACID"
"02231123","approved","ONCOVITE","ONCOVITE (ZINC (ZINC OXIDE) 7.5MG, ASCORBIC ACID (ASCORBIC ACID) 500MG, VITAMIN E (DL-ALPHA TOCOPHERYL ACID SUCCINATE) 200UNIT, VITAMIN A (VITAMIN A ACETATE) 8000UNIT, VITAMIN B12 (CYANOCOBALAMIN) 2MCG, VITAMIN D3 400UNIT, FOLIC ACID 0.4MG, D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE) 5MG, NICOTINAMIDE 6MG, BETA-CAROTENE 2000UNIT, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE) 25MG, VITAMIN B1 (THIAMINE MONONITRATE) 0.6MG, VITAMIN B2 1MG)","A11AA03;A11AA03;A11A","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS;MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS;MULTIVITAMINS AND "
"02231174","approved","FLUOXETINE","FLUOXETINE (FLUOXETINE (FLUOXETINE HYDROCHLORIDE) 20MG)","N06AB03","FLUOXETINE"
"02231255","approved","DOM-TRYPTOPHAN","DOM-TRYPTOPHAN (TRYPTOPHAN 1G)","N06AX02","TRYPTOPHAN"
"02231322","approved","ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES FARINAE","ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES FARINAE (DERMATOPHAGOIDES FARINAE 5000UNIT)","V01AA03","HOUSE DUST MITES"
"02231323","approved","ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES PTERONYSSINUS","ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES PTERONYSSINUS (DERMATOPHAGOIDES PTERONYSSINUS 5000UNIT)","V01AA03","HOUSE DUST MITES"
"02231397","approved","DOM-LITHIUM CARBONATE","DOM-LITHIUM CARBONATE (LITHIUM CARBONATE 150MG)","N05AN01","LITHIUM"
"02231398","approved","DOM-LITHIUM CARBONATE","DOM-LITHIUM CARBONATE (LITHIUM CARBONATE 300MG)","N05AN01","LITHIUM"
"02231399","approved","DOM-LITHIUM CARBONATE","DOM-LITHIUM CARBONATE (LITHIUM CARBONATE 600MG)","N05AN01","LITHIUM"
"02231496","approved","PMS-FENOFIBRATE","PMS-FENOFIBRATE (FENOFIBRATE 100MG)","C10AB05","FENOFIBRATE"
"02231520","approved","DHS SAL","DHS SAL (SALICYLIC ACID 3.0%)","D11AC30","OTHERS"
"02231541","approved","PMS-CARBAMAZEPINE","PMS-CARBAMAZEPINE (CARBAMAZEPINE 200MG)","N03AF01","CARBAMAZEPINE"
"02231546","approved","PMS-METOPROLOL-L SR","PMS-METOPROLOL-L SR (METOPROLOL TARTRATE 100MG)","C07AB02","METOPROLOL"
"02231547","approved","PMS-METOPROLOL-L SR","PMS-METOPROLOL-L SR (METOPROLOL TARTRATE 200MG)","C07AB02","METOPROLOL"
"02231633","approved","ZINC PLUS VITAMINS C & B6 LOZENGES","ZINC PLUS VITAMINS C & B6 LOZENGES (ZINC (ZINC GLUCONATE) 15MG, ASCORBIC ACID (ASCORBIC ACID) 60MG, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE) 5MG)","A11JB;A11JB;A11JB","VITAMINS WITH MINERALS;VITAMINS WITH MINERALS;VITAMINS WITH MINERALS"
"02231670","approved","DOM-CARBAMAZEPINE","DOM-CARBAMAZEPINE (CARBAMAZEPINE 200MG)","N03AF01","CARBAMAZEPINE"
"02231757","approved","HENRY SCHEIN MINUTE TOPICAL FOAM FLUORIDE","HENRY SCHEIN MINUTE TOPICAL FOAM FLUORIDE (SODIUM FLUORIDE 1.69%, HYDROGEN FLUORIDE 0.5%)","A01AA51;A01AA51","SODIUM FLUORIDE, COMBINATIONS;SODIUM FLUORIDE, COMBINATIONS"
"02231758","approved","HENRY SCHEIN MINUTE TOPICAL FLUORIDE GEL","HENRY SCHEIN MINUTE TOPICAL FLUORIDE GEL (SODIUM FLUORIDE 1.7%, PHOSPHORIC ACID 1.1%, HYDROGEN FLUORIDE 0.5%)","A01AA51;A01AA51;A01A","SODIUM FLUORIDE, COMBINATIONS;SODIUM FLUORIDE, COMBINATIONS;SODIUM FLUORIDE, COMBINATIONS"
"02231759","approved","HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - FINE GRIT","HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - FINE GRIT (FLUORIDE (SODIUM FLUORIDE) 1.23%)","",""
"02231760","approved","HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - MEDIUM GRIT","HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - MEDIUM GRIT (FLUORIDE (SODIUM FLUORIDE) 1.23%)","",""
"02231761","approved","HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - COARSE GRIT","HENRY SCHEIN PROPHY PASTE WITH FLUORIDE - COARSE GRIT (FLUORIDE (SODIUM FLUORIDE) 1.23%)","",""
"02231762","approved","CARDURA-1,2,AND 4","CARDURA-1,2,AND 4 (DOXAZOSIN (DOXAZOSIN MESYLATE) 4MG, DOXAZOSIN (DOXAZOSIN MESYLATE) 2MG, DOXAZOSIN (DOXAZOSIN MESYLATE) 1MG)","C02CA04;C02CA04;C02C","DOXAZOSIN;DOXAZOSIN;DOXAZOSIN"
"02231774","approved","ALKA-PAN TABLETS","ALKA-PAN TABLETS (PAPAIN (PAPAYA) 125MG, OX BILE EXTRACT 35MG, BETAINE HYDROCHLORIDE 20MG, PANCREATIN 135MG, BROMELAIN 50MG)","A09AC02;A09AC02;A09A","MULTIENZYMES AND ACID PREPARATIONS;MULTIENZYMES AND ACID PREPARATIONS;MULTIENZYMES AND ACID PREPARATIONS;MULTIENZYMES AN"
"02231830","approved","SEAQUA X","SEAQUA X (CHLORHEXIDINE GLUCONATE 2.0%)","D08AC02","CHLORHEXIDINE"
"02231911","approved","VALERIAN ROOT CAPSULE 500MG","VALERIAN ROOT CAPSULE 500MG (VALERIAN 500MG)","",""
"02231965","approved","ETODOLAC","ETODOLAC (ETODOLAC 200MG)","M01AB08","ETODOLAC"
"02231967","approved","ETODOLAC","ETODOLAC (ETODOLAC 300MG)","M01AB08","ETODOLAC"
"02232488","approved","ANTLERVIRON","ANTLERVIRON (ASCORBIC ACID 100MG, ASCORBIC ACID 100MG, VITAMIN B6 1MG, VITAMIN B6 1MG, VITAMIN B1 4.5MG, VITAMIN B1 4.5MG, VITAMIN B2 2MG, VITAMIN B2 2MG)","A11JA;A11JA;A11JA;A1","COMBINATIONS OF VITAMINS;COMBINATIONS OF VITAMINS;COMBINATIONS OF VITAMINS;COMBINATIONS OF VITAMINS;COMBINATIONS OF VITA"
"02233020","approved","ECHINACEA CAPSULES 380MG","ECHINACEA CAPSULES 380MG (ECHINACEA ANGUSTIFOLIA 380MG)","",""
"02233021","approved","ECHINACEA TINCTURE","ECHINACEA TINCTURE (ECHINACEA ANGUSTIFOLIA 200MG)","",""
"02236467","approved","COUGH LOZENGES","COUGH LOZENGES (MENTHOL 2.5MG, EUCALYPTUS OIL 0.2MG)","",""
"02236565","approved","ORCIPRENALINE","ORCIPRENALINE (ORCIPRENALINE SULFATE 2MG)","R03CB03","ORCIPRENALINE"
"02236746","approved","CLOTRIMADERM TOPICAL SOLUTION 1% USP","CLOTRIMADERM TOPICAL SOLUTION 1% USP (CLOTRIMAZOLE 10MG)","D01AC01","CLOTRIMAZOLE"
"02236757","approved","DOM-NIFEDIPINE","DOM-NIFEDIPINE (NIFEDIPINE 5MG)","C08CA05","NIFEDIPINE"
"02236758","approved","DOM-NIFEDIPINE","DOM-NIFEDIPINE (NIFEDIPINE 10MG)","C08CA05","NIFEDIPINE"
"02236927","approved","DIGESTIVE ENZYMES","DIGESTIVE ENZYMES (AMYLASE 2000UNIT, PROTEASE 6500UNIT, LIPASE 145UNIT, PAPAIN 50MG, LACTASE 100UNIT, BETAINE HYDROCHLORIDE 3MG, CELLULASE 2UNIT, BROMELAIN (PINEAPPLE ENZYME) 50MG)","A09AC02;A09AC02;A09A","MULTIENZYMES AND ACID PREPARATIONS;MULTIENZYMES AND ACID PREPARATIONS;MULTIENZYMES AND ACID PREPARATIONS;MULTIENZYMES AN"
"02237000","approved","REACTINE EYE DROPS","REACTINE EYE DROPS (PHENIRAMINE MALEATE 0.3%, PHENIRAMINE MALEATE 0.3%, NAPHAZOLINE HYDROCHLORIDE 0.025%, NAPHAZOLINE HYDROCHLORIDE 0.025%)","S01GA51;S01GA51;S01G","NAPHAZOLINE, COMBINATIONS;NAPHAZOLINE, COMBINATIONS;NAPHAZOLINE, COMBINATIONS;NAPHAZOLINE, COMBINATIONS"
"02237154","approved","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN 500MG)","J01CA04","AMOXICILLIN"
"02237329","approved","HENRY SCHEIN TOPICAL ANESTHETIC GEL","HENRY SCHEIN TOPICAL ANESTHETIC GEL (TETRACAINE HYDROCHLORIDE 2%, BENZOCAINE 18%)","N01BA20;N01BA20","COMBINATIONS,OF ANESTHETICS;COMBINATIONS,OF ANESTHETICS"
"02237331","approved","HENRY SCHEIN 2% NEUTRAL TOPICAL FOAM FLUORIDE","HENRY SCHEIN 2% NEUTRAL TOPICAL FOAM FLUORIDE (FLUORIDE (SODIUM FLUORIDE) 1%)","",""
"02237372","approved","APO-FLUCONAZOLE","APO-FLUCONAZOLE (FLUCONAZOLE 200MG)","J02AC01","FLUCONAZOLE"
"02237386","approved","DML FACIAL MOISTURIZER WITH SUNSCREEN","DML FACIAL MOISTURIZER WITH SUNSCREEN (OXYBENZONE 4%, OCTINOXATE 7.5%)","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION"
"02237707","approved","SINUTAB DAYTIME/NIGHTIME EXTRA STRENGTH CAPLETS (COMBO PACK)","SINUTAB DAYTIME/NIGHTIME EXTRA STRENGTH CAPLETS (COMBO PACK) (DIPHENHYDRAMINE HYDROCHLORIDE 25MG, DIPHENHYDRAMINE HYDROCHLORIDE 25MG, ACETAMINOPHEN 500MG, ACETAMINOPHEN 500MG, ACETAMINOPHEN 500MG, ACETAMINOPHEN 500MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE"
"02238069","approved","VALPROIC ACID ORAL SOLUTION","VALPROIC ACID ORAL SOLUTION (VALPROIC ACID (SODIUM VALPROATE) 250MG)","N03AG01","VALPROIC ACID"
"02238161","approved","TAGAMET PREVENT","TAGAMET PREVENT (CIMETIDINE 200MG)","A02BA01","CIMETIDINE"
"02238183","marketed","ACETAMINOPHEN WITH ANTIHISTAMINE NIGHTTIME","ACETAMINOPHEN WITH ANTIHISTAMINE NIGHTTIME (DIPHENHYDRAMINE HYDROCHLORIDE 25MG, DIPHENHYDRAMINE HYDROCHLORIDE 25MG, ACETAMINOPHEN 500MG, ACETAMINOPHEN 500MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE"
"02238328","approved","PMS-SOTALOL - 240 MG","PMS-SOTALOL - 240 MG (SOTALOL HYDROCHLORIDE 240MG)","C07AA07","SOTALOL"
"02238369","approved","NABUMETONE","NABUMETONE (NABUMETONE 500MG)","M01AX01","NABUMETONE"
"02238592","approved","MUSE","MUSE (ALPROSTADIL 125MCG)","G04BE01","ALPROSTADIL"
"02239040","approved","CHILDREN'S NICOLD MEDICINE","CHILDREN'S NICOLD MEDICINE (PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, DEXTROMETHORPHAN HYDROBROMIDE 15MG, CHLORPHENIRAMINE MALEATE 2MG)","R05DA20;R05DA20;R05D","COMBINATIONS;COMBINATIONS;COMBINATIONS"
"02239041","approved","NICOLD MEDICINE FOR ADULTS","NICOLD MEDICINE FOR ADULTS (ACETAMINOPHEN 1000MG, PSEUDOEPHEDRINE HYDROCHLORIDE 60MG, DOXYLAMINE SUCCINATE 12.5MG, DEXTROMETHORPHAN HYDROBROMIDE 30MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE"
"02239061","approved","NITETIME COLD MEDICINE","NITETIME COLD MEDICINE (ACETAMINOPHEN 1000MG, PSEUDOEPHEDRINE HYDROCHLORIDE 60MG, DOXYLAMINE SUCCINATE 7.5MG, DEXTROMETHORPHAN HYDROBROMIDE 30MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE"
"02239080","approved","DM 7.5MG CROQUABLE (CHEWABLE TABLET)","DM 7.5MG CROQUABLE (CHEWABLE TABLET) (DEXTROMETHORPHAN HYDROBROMIDE 7.5MG)","R05DA09","DEXTROMETHORPHAN"
"02239392","approved","ANMIEN PIEN (SLEEPWELL HERBAL TABLET)","ANMIEN PIEN (SLEEPWELL HERBAL TABLET) (PORIA COCOS 167MG, ZIZYPHUS SPINOSA 250MG, POLYGALA 167MG, FRUCTUS GARDENIAE JASMINOIDIS 83MG)","",""
"02239566","approved","SIBERIAN GINSENG EXTRACTUM","SIBERIAN GINSENG EXTRACTUM (GINSENG 1300MG)","",""
"02239567","approved","SIBERIAN GINSENG TABLET","SIBERIAN GINSENG TABLET (GINSENG 3000MG)","",""
"02239606","approved","CELEXA 10 MG","CELEXA 10 MG (CITALOPRAM (CITALOPRAM HYDROBROMIDE) 10MG)","N06AB04","CITALOPRAM"
"02239625","approved","INFANT'S ACETAMINOPHEN SUSPENSION DROPS","INFANT'S ACETAMINOPHEN SUSPENSION DROPS (ACETAMINOPHEN 80MG)","N02BE01","ACETAMINOPHEN (PARACETAMOL)"
"02239626","approved","TANTAPHEN CHILDREN'S ACETAMINOPHEN SUSPENSION LIQUID","TANTAPHEN CHILDREN'S ACETAMINOPHEN SUSPENSION LIQUID (ACETAMINOPHEN 160MG)","N02BE01","ACETAMINOPHEN (PARACETAMOL)"
"02239831","approved","PMS-PIMOZIDE","PMS-PIMOZIDE (PIMOZIDE 10MG)","N05AG02","PIMOZIDE"
"02239876","approved","LAMISIL DERMGEL","LAMISIL DERMGEL (TERBINAFINE 10MG)","D01AE15","TERBINAFINE"
"02239899","approved","EAGLE BRAND MEDICATED OIL","EAGLE BRAND MEDICATED OIL (MENTHOL 263.6MG, METHYL SALICYLATE 172.3MG, EUCALYPTUS OIL 14.4MG)","M02AC;M02AC;M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES;PREPARATIONS WITH SALICYLIC ACID DERIVATIVES;PREPARATIONS WITH SALICYLIC AC"
"02239934","approved","SCOTT'S EMULSION VITAMIN A AND D SUPPLEMENT","SCOTT'S EMULSION VITAMIN A AND D SUPPLEMENT (VITAMIN D (COD LIVER OIL) 174UNIT, VITAMIN A (COD LIVER OIL) 2338UNIT)","",""
"02239935","approved","SCOTT'S EMULSION VITAMIN A AND D SUPPLEMENT CHERRY FLAVOR","SCOTT'S EMULSION VITAMIN A AND D SUPPLEMENT CHERRY FLAVOR (VITAMIN D (COD LIVER OIL) 174UNIT, VITAMIN A (COD LIVER OIL) 2338UNIT)","",""
"02240064","approved","CANESTEN POWDER","CANESTEN POWDER (TOLNAFTATE 1%)","D01AE18","TOLNAFTATE"
"02240159","approved","RELIEVOL PMS REGULAR STRENGTH TABLETS","RELIEVOL PMS REGULAR STRENGTH TABLETS (ACETAMINOPHEN 325MG, PYRILAMINE MALEATE 12.5MG, PAMABROM 25MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"
"02240535","approved","SEAQADERM SOAP","SEAQADERM SOAP (TRICLOSAN 0.5%)","D08AE04","TRICLOSAN"
"02240565","approved","MEDICAMENT POUR LE RHUME, JOUR","MEDICAMENT POUR LE RHUME, JOUR (ACETAMINOPHEN 500MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, DEXTROMETHORPHAN HYDROBROMIDE 15MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"
"02240566","approved","MEDICAMENT POUR LE RHUME, NUIT","MEDICAMENT POUR LE RHUME, NUIT (ACETAMINOPHEN 500MG, PSEUDOEPHEDRINE HYDROCHLORIDE 30MG, DEXTROMETHORPHAN HYDROBROMIDE 15MG, CHLORPHENIRAMINE MALEATE 2MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE"
"02240600","approved","CEFADROXIL","CEFADROXIL (CEFADROXIL 500MG)","J01DB05","CEFADROXIL"
"02240953","approved","CHLORPHENIRAMINE MALEATE INJECTION USP","CHLORPHENIRAMINE MALEATE INJECTION USP (CHLORPHENIRAMINE MALEATE 10MG)","R06AB04","CHLORPHENIRAMINE"
