"DIN","status","name","new name","description","new description","atc_number(s)","atc(s)","indicator(s)"
"00004723","marketed","PURINETHOL","","PURINETHOL (MERCAPTOPURINE 50MG)","","L01BB02","MERCAPTOPURINE",""
"00004774","cancelled","DARAPRIM","","DARAPRIM (PYRIMETHAMINE 25MG)","","P01BD01","PYRIMETHAMINE",""
"00005606","cancelled","RITALIN 10MG","","RITALIN 10MG (METHYLPHENIDATE HYDROCHLORIDE 10MG)","","N06BA04","METHYLPHENIDATE",""
"00005614","cancelled","RITALIN 20MG","","RITALIN 20MG (METHYLPHENIDATE HYDROCHLORIDE 20MG)","","N06BA04","METHYLPHENIDATE",""
"00009881","marketed","PAPAVERINE HYDROCHLORIDE INJECTION USP","","PAPAVERINE HYDROCHLORIDE INJECTION USP (PAPAVERINE HYDROCHLORIDE 65MG)","","A03AD01","PAPAVERINE",""
"00010200","cancelled","PROPYL-THYRACIL","","PROPYL-THYRACIL (PROPYLTHIOURACIL 50MG)","","H03BA02","PROPYLTHIOURACIL","Hyperthyroidism"
"00010219","cancelled","PROPYL-THYRACIL","","PROPYL-THYRACIL (PROPYLTHIOURACIL 100MG)","","H03BA02","PROPYLTHIOURACIL","Hyperthyroidism"
"00010332","dormant","ENTROPHEN 325MG TABLETS","","ENTROPHEN 325MG TABLETS (ACETYLSALICYLIC ACID 325MG)","","N02BA01","ACETYLSALICYLIC ACID","Ischemic Heart disease;Stroke"
"00010340","dormant","ENTROPHEN ECT 650MG","","ENTROPHEN ECT 650MG (ACETYLSALICYLIC ACID 650MG)","","N02BA01","ACETYLSALICYLIC ACID","Ischemic Heart disease;Stroke"
"00010383","cancelled","SINTROM","","SINTROM (ACENOCOUMAROL 1MG)","","B01AA07","ACENOCOUMAROL",""
"00010391","cancelled","SINTROM","","SINTROM (ACENOCOUMAROL 4MG)","","B01AA07","ACENOCOUMAROL",""
"00010405","marketed","TEGRETOL 200MG","TEGRETOL","TEGRETOL 200MG (CARBAMAZEPINE 200MG)","TEGRETOL (CARBAMAZEPINE 200MG)","N03AF01","CARBAMAZEPINE",""
"00012696","cancelled","DALMANE","","DALMANE (FLURAZEPAM HYDROCHLORIDE 15MG)","","N05CD01","FLURAZEPAM",""
"00012718","cancelled","DALMANE","","DALMANE (FLURAZEPAM HYDROCHLORIDE 30MG)","","N05CD01","FLURAZEPAM",""
"00012750","marketed","MATULANE","","MATULANE (PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE) 50MG)","","L01XB01","PROCARBAZINE",""
"00012882","marketed","FLUOROURACIL INJECTION","","FLUOROURACIL INJECTION (FLUOROURACIL 50MG)","","L01BC02","FLUOROURACIL",""
"00013285","marketed","VALIUM 5 TAB","","VALIUM 5 TAB (DIAZEPAM 5MG)","","N05BA01","DIAZEPAM",""
"00013579","marketed","GRAVOL IM","","GRAVOL IM (DIMENHYDRINATE 50MG)","","R06AA11","DIMENHYDRINATE",""
"00013609","marketed","GRAVOL COMFORT SHAPED SUPPOSITORIES","GRAVOL SUPPOSITORIES","GRAVOL COMFORT SHAPED SUPPOSITORIES (DIMENHYDRINATE 100MG)","GRAVOL SUPPOSITORIES (DIMENHYDRINATE 100MG)","R06AA11","DIMENHYDRINATE",""
"00013617","marketed","OVOL DROPS 40MG","OVOL DROPS","OVOL DROPS 40MG (SIMETHICONE 40MG)","OVOL DROPS (SIMETHICONE 40MG)","A03AX13","SILICONES",""
"00013668","cancelled","ATASOL FORTE TAB 500MG","","ATASOL FORTE TAB 500MG (ACETAMINOPHEN 500MG)","","N02BE01","ACETAMINOPHEN (PARACETAMOL)",""
"00013803","marketed","GRAVOL EASY TO SWALLOW TABLETS","GRAVOL TABLETS","GRAVOL EASY TO SWALLOW TABLETS (DIMENHYDRINATE 50MG)","GRAVOL TABLETS (DIMENHYDRINATE 50MG)","R06AA11","DIMENHYDRINATE",""
"00015229","marketed","AVENTYL","","AVENTYL (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 10MG)","","N06AA10","NORTRIPTYLINE","Depression"
"00015237","marketed","AVENTYL","","AVENTYL (NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 25MG)","","N06AA10","NORTRIPTYLINE","Depression"
"00015547","dormant","KEFLEX","","KEFLEX (CEPHALEXIN 125MG)","","J01DB01","CEFALEXIN",""
"00015741","marketed","TAPAZOLE 5MG TABLET","TAPAZOLE","TAPAZOLE 5MG TABLET (THIAMAZOLE 5MG)","TAPAZOLE (METHIMAZOLE 5MG)","H03BB02","THIAMAZOLE","Hyperthyroidism"
"00016055","marketed","CUPRIMINE","","CUPRIMINE (D-PENICILLAMINE 250MG)","CUPRIMINE (PENICILLAMINE 250MG)","M01CC01","PENICILLAMINE",""
"00020877","marketed","NOVO-AMPICILLIN","TEVA-AMPICILLIN","NOVO-AMPICILLIN (AMPICILLIN (AMPICILLIN TRIHYDRATE) 250MG)","TEVA-AMPICILLIN (AMPICILLIN (AMPICILLIN TRIHYDRATE) 250MG)","J01CA01","AMPICILLIN",""
"00020885","marketed","NOVO-AMPICILLIN","TEVA-AMPICILLIN","NOVO-AMPICILLIN (AMPICILLIN (AMPICILLIN TRIHYDRATE) 500MG)","TEVA-AMPICILLIN (AMPICILLIN (AMPICILLIN TRIHYDRATE) 500MG)","J01CA01","AMPICILLIN",""
"00021008","marketed","TEVA-QUININE","","TEVA-QUININE (QUININE SULFATE 200MG)","","P01BC01","QUININE",""
"00021016","marketed","TEVA-QUININE","","TEVA-QUININE (QUININE SULFATE 300MG)","","P01BC01","QUININE",""
"00021067","cancelled","VITAMIN A CAP 25000IU","","VITAMIN A CAP 25000IU (VITAMIN A 25000UNIT)","","A11CA01","RETINOL (VIT A)",""
"00021075","cancelled","VITAMIN A CAP 50000IU","","VITAMIN A CAP 50000IU (VITAMIN A 50000UNIT)","","A11CA01","RETINOL (VIT A)",""
"00021172","cancelled","NOVO-RYTHRO ESTOLATE SUSPENSION","","NOVO-RYTHRO ESTOLATE SUSPENSION (ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE) 125MG)","","J01FA01","ERYTHROMYCIN",""
"00021202","cancelled","NOVO-PEN-VK 500 TAB","","NOVO-PEN-VK 500 TAB (PENICILLIN V POTASSIUM 500000UNIT)","","J01CE02","PHENOXYMETHYLPENICILLIN",""
"00021261","cancelled","TEVA-CHLOROQUINE","","TEVA-CHLOROQUINE (CHLOROQUINE DIPHOSPHATE 250MG)","TEVA-CHLOROQUINE (CHLOROQUINE PHOSPHATE 250MG)","P01BA01","CHLOROQUINE",""
"00021288","marketed","NOVO-PHENIRAM","TEVA-PHENIRAM","NOVO-PHENIRAM (CHLORPHENIRAMINE MALEATE 4MG)","TEVA-PHENIRAM (CHLORPHENIRAMINE MALEATE 4MG)","R06AB04","CHLORPHENIRAMINE",""
"00021423","cancelled","TEVA-DIMENATE","","TEVA-DIMENATE (DIMENHYDRINATE 50MG)","TEVA-DIMENATE (DIMENHYDRINATE 50MG, DIMENHYDRINATE 50MG)","R06AA11;R06AA11","DIMENHYDRINATE;DIMENHYDRINATE",""
"00021466","cancelled","NOVO-FOLACID 5MG","","NOVO-FOLACID 5MG (FOLIC ACID 5MG)","","B03BB01","FOLIC ACID",""
"00021474","marketed","TEVA-HYDROCHLOROTHIAZIDE","","TEVA-HYDROCHLOROTHIAZIDE (HYDROCHLOROTHIAZIDE 25MG)","","C03AA03","HYDROCHLOROTHIAZIDE","Hypertension;Ischemic Heart disease"
"00021482","marketed","TEVA-HYDROCHLOROTHIAZIDE","","TEVA-HYDROCHLOROTHIAZIDE (HYDROCHLOROTHIAZIDE 50MG)","","C03AA03","HYDROCHLOROTHIAZIDE","Hypertension;Ischemic Heart disease"
"00021504","cancelled","NOVO-PRAMINE TAB 10MG","","NOVO-PRAMINE TAB 10MG (IMIPRAMINE HYDROCHLORIDE 10MG)","","N06AA02","IMIPRAMINE","Depression"
"00021512","cancelled","NOVO-PRAMINE TAB 25MG","","NOVO-PRAMINE TAB 25MG (IMIPRAMINE HYDROCHLORIDE 25MG)","","N06AA02","IMIPRAMINE","Depression"
"00021520","cancelled","NOVO-PRAMINE TAB 50MG","","NOVO-PRAMINE TAB 50MG (IMIPRAMINE HYDROCHLORIDE 50MG)","","N06AA02","IMIPRAMINE","Depression"
"00021555","cancelled","NOVO-NIDAZOL TAB 250MG","","NOVO-NIDAZOL TAB 250MG (METRONIDAZOLE 250MG)","","J01XD01","METRONIDAZOLE",""
"00021695","marketed","NOVO-PREDNISONE","TEVA-PREDNISONE","NOVO-PREDNISONE (PREDNISONE 5MG)","TEVA-PREDNISONE (PREDNISONE 5MG)","H02AB07","PREDNISONE","Chronic Airflow Obstruction"
"00021865","cancelled","NOVO-TRIFLUZINE - TAB 2MG","","NOVO-TRIFLUZINE - TAB 2MG (TRIFLUOPERAZINE HYDROCHLORIDE 2.36MG)","","N05AB06","TRIFLUOPERAZINE",""
"00021873","cancelled","NOVO-TRIFLUZINE - TAB 5MG","","NOVO-TRIFLUZINE - TAB 5MG (TRIFLUOPERAZINE HYDROCHLORIDE 5.9MG)","","N05AB06","TRIFLUOPERAZINE",""
"00021881","cancelled","NOVO-TRIFLUZINE - TAB 10MG","","NOVO-TRIFLUZINE - TAB 10MG (TRIFLUOPERAZINE HYDROCHLORIDE 11.8MG)","","N05AB06","TRIFLUOPERAZINE",""
"00022381","marketed","CORTROSYN INJ 0.25MG","","CORTROSYN INJ 0.25MG (COSYNTROPIN 0.25MG)","CORTROSYN INJ 0.25MG (TETRACOSACTIDE 0.25MG, TETRACOSACTIDE 0.25MG)","H01AA02;H01AA02","TETRACOSACTIDE;TETRACOSACTIDE",""
"00022772","marketed","DILANTIN - 30MG","DILANTIN","DILANTIN - 30MG (PHENYTOIN SODIUM 30MG)","DILANTIN (PHENYTOIN SODIUM 30MG)","N03AB02","PHENYTOIN",""
"00022780","marketed","DILANTIN - 100MG","DILANTIN","DILANTIN - 100MG (PHENYTOIN SODIUM 100MG)","DILANTIN (PHENYTOIN SODIUM 100MG)","N03AB02","PHENYTOIN",""
"00022799","marketed","ZARONTIN CAP 250MG","ZARONTIN","ZARONTIN CAP 250MG (ETHOSUXIMIDE 250MG)","ZARONTIN (ETHOSUXIMIDE 250MG)","N03AD01","ETHOSUXIMIDE",""
"00022802","cancelled","CELONTIN CAP 300MG","","CELONTIN CAP 300MG (METHSUXIMIDE 300MG)","","N03AD03","MESUXIMIDE",""
"00023442","marketed","DILANTIN-30 SUSPENSION","","DILANTIN-30 SUSPENSION (PHENYTOIN 30MG)","","N03AB02","PHENYTOIN",""
"00023450","marketed","DILANTIN-125 SUSPENSION","","DILANTIN-125 SUSPENSION (PHENYTOIN 125MG)","","N03AB02","PHENYTOIN",""
"00023485","marketed","ZARONTIN SYR 250MG/5ML","ZARONTIN SYRUP","ZARONTIN SYR 250MG/5ML (ETHOSUXIMIDE 250MG)","ZARONTIN SYRUP (ETHOSUXIMIDE 250MG)","N03AD01","ETHOSUXIMIDE",""
"00023698","marketed","DILANTIN INFATABS","","DILANTIN INFATABS (PHENYTOIN 50MG)","","N03AB02","PHENYTOIN",""
"00023760","marketed","NORLUTATE","","NORLUTATE (NORETHINDRONE ACETATE 5MG)","","G03DC02","NORETHISTERONE",""
"00023949","marketed","THYROID TAB 30MG","THYROID","THYROID TAB 30MG (THYROID 30MG)","THYROID (THYROID 30MG)","H03AA05","THYROID GLAND PREPARATIONS","Hypothyroidism"
"00023957","marketed","THYROID TAB 60MG","THYROID","THYROID TAB 60MG (THYROID 60MG)","THYROID (THYROID 60MG)","H03AA05","THYROID GLAND PREPARATIONS","Hypothyroidism"
"00023965","marketed","THYROID TAB 125MG","THYROID","THYROID TAB 125MG (THYROID 125MG)","THYROID (THYROID 125MG)","H03AA05","THYROID GLAND PREPARATIONS","Hypothyroidism"
"00024325","marketed","SINEQUAN CAP 10MG","SINEQUAN","SINEQUAN CAP 10MG (DOXEPIN (DOXEPIN HYDROCHLORIDE) 10MG)","SINEQUAN (DOXEPIN (DOXEPIN HYDROCHLORIDE) 10MG)","N06AA12","DOXEPIN","Depression"
"00024333","marketed","SINEQUAN CAP 25MG","SINEQUAN","SINEQUAN CAP 25MG (DOXEPIN (DOXEPIN HYDROCHLORIDE) 25MG)","SINEQUAN (DOXEPIN (DOXEPIN HYDROCHLORIDE) 25MG)","N06AA12","DOXEPIN","Depression"
"00024341","marketed","SINEQUAN CAP 50MG","SINEQUAN","SINEQUAN CAP 50MG (DOXEPIN (DOXEPIN HYDROCHLORIDE) 50MG)","SINEQUAN (DOXEPIN (DOXEPIN HYDROCHLORIDE) 50MG)","N06AA12","DOXEPIN","Depression"
"00024368","cancelled","VIBRAMYCIN CAP 100MG","","VIBRAMYCIN CAP 100MG (DOXYCYCLINE (DOXYCYCLINE HYCLATE) 100MG)","","J01AA02","DOXYCYCLINE",""
"00024430","cancelled","NAVANE CAP 2MG","","NAVANE CAP 2MG (THIOTHIXENE 2MG)","","N05AF04","TIOTIXENE",""
"00024449","dormant","NAVANE CAP 5MG","NAVANE","NAVANE CAP 5MG (THIOTHIXENE 5MG)","NAVANE (THIOTHIXENE 5MG)","N05AF04","TIOTIXENE",""
"00024457","cancelled","NAVANE CAPSULES 10MG","","NAVANE CAPSULES 10MG (THIOTHIXENE 10MG)","","N05AF04","TIOTIXENE",""
"00024694","marketed","ATARAX SYRUP 2MG/ML","ATARAX","ATARAX SYRUP 2MG/ML (HYDROXYZINE HYDROCHLORIDE 2MG)","ATARAX (HYDROXYZINE HYDROCHLORIDE 10MG)","N05BB01","HYDROXYZINE",""
"00026123","marketed","SENOKOT S","","SENOKOT S (SENNOSIDES (SENNA) 8.6MG, DOCUSATE SODIUM 50MG)","SENOKOT S (SENNOSIDES 8.6MG, DOCUSATE SODIUM 50MG)","A06AB56;A06AB56","SENNA GLYCOSIDES, COMBINATIONS;SENNA GLYCOSIDES, COMBINATIONS",""
"00027243","marketed","DIHYDROERGOTAMINE (DHE), 1MG/ML","","DIHYDROERGOTAMINE (DHE), 1MG/ML (DIHYDROERGOTAMINE MESYLATE 1MG)","","N02CA01","DIHYDROERGOTAMINE",""
"00027944","cancelled","VALISONE SCALP LOTION","VALISONE","VALISONE SCALP LOTION (BETAMETHASONE (BETAMETHASONE VALERATE) 0.1%)","VALISONE (BETAMETHASONE (BETAMETHASONE VALERATE) 0.1%)","D07AC01","BETAMETHASONE",""
"00028053","cancelled","SODIUM SULAMYD 10%","","SODIUM SULAMYD 10% (SULFACETAMIDE SODIUM 100MG)","","S01AB04","SULFACETAMIDE",""
"00028096","marketed","CELESTONE SOLUSPAN","","CELESTONE SOLUSPAN (BETAMETHASONE ACETATE 3MG, BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE) 3MG)","","H02AB01;H02AB01","BETAMETHASONE;BETAMETHASONE",""
"00028339","cancelled","GARAMYCIN OPHTHALMIC OINTMENT 0.3%","","GARAMYCIN OPHTHALMIC OINTMENT 0.3% (GENTAMICIN (GENTAMICIN SULFATE) 0.3%)","","S01AA11","GENTAMICIN",""
"00028606","marketed","ALDACTONE 25 MG","","ALDACTONE 25 MG (SPIRONOLACTONE 25MG)","","C03DA01","SPIRONOLACTONE","Hypertension;Ischemic Heart disease"
"00029149","marketed","FUNGIZONE INTRAVENOUS INJECTION 50MG","FUNGIZONE","FUNGIZONE INTRAVENOUS INJECTION 50MG (AMPHOTERICIN B 50MG)","FUNGIZONE (AMPHOTERICIN B 50MG)","J02AA01","AMPHOTERICIN B",""
"00029246","marketed","DELATESTRYL","","DELATESTRYL (TESTOSTERONE ENANTHATE 200MG)","","G03BA03","TESTOSTERONE",""
"00030570","marketed","DALACIN C 150 MG","","DALACIN C 150 MG (CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE) 150MG)","","J01FF01","CLINDAMYCIN",""
"00030600","marketed","SOLU-CORTEF 100 MG ACT-O-VIAL","SOLU-CORTEF","SOLU-CORTEF 100 MG ACT-O-VIAL (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 100MG)","SOLU-CORTEF (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 100MG)","H02AB09","HYDROCORTISONE",""
"00030619","marketed","SOLU-CORTEF 250 MG ACT-O-VIAL","SOLU-CORTEF","SOLU-CORTEF 250 MG ACT-O-VIAL (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 250MG)","SOLU-CORTEF (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 250MG)","H02AB09","HYDROCORTISONE",""
"00030627","marketed","SOLU-CORTEF 500 MG ACT-O-VIAL","SOLU-CORTEF","SOLU-CORTEF 500 MG ACT-O-VIAL (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 500MG)","SOLU-CORTEF (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 500MG)","H02AB09","HYDROCORTISONE",""
"00030635","marketed","SOLU-CORTEF 1 GM ACT-O-VIAL","SOLU-CORTEF","SOLU-CORTEF 1 GM ACT-O-VIAL (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 1G)","SOLU-CORTEF (HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 1G)","H02AB09","HYDROCORTISONE",""
"00030678","marketed","SOLU-MEDROL","","SOLU-MEDROL (METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE) 500MG)","","H02AB04","METHYLPREDNISOLONE",""
"00030708","cancelled","BACITRACIN USP","","BACITRACIN USP (BACITRACIN 50000UNIT)","BACITRACIN USP (BACITRACIN 50000UNIT, BACITRACIN 50000UNIT)","J01XX10;J01XX10","BACITRACIN;BACITRACIN",""
"00030732","cancelled","LINCOCIN","","LINCOCIN (LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE) 300MG)","","J01FF02","LINCOMYCIN",""
"00030759","marketed","DEPO-MEDROL 40 MG/ML","","DEPO-MEDROL 40 MG/ML (METHYLPREDNISOLONE ACETATE 40MG)","","H02AB04","METHYLPREDNISOLONE",""
"00030767","marketed","DEPO-MEDROL 80 MG/ML","","DEPO-MEDROL 80 MG/ML (METHYLPREDNISOLONE ACETATE 80MG)","","H02AB04","METHYLPREDNISOLONE",""
"00030783","dormant","DEPO-TESTOSTERONE INJ 100MG/ML","","DEPO-TESTOSTERONE INJ 100MG/ML (TESTOSTERONE CYPIONATE 100MG)","","G03BA03","TESTOSTERONE",""
"00030848","cancelled","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML","DEPO-PROVERA","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (MEDROXYPROGESTERONE ACETATE 50MG)","DEPO-PROVERA (MEDROXYPROGESTERONE ACETATE 50MG)","G03AC06","MEDROXYPROGESTERONE",""
"00030910","marketed","CORTEF TABLETS 10MG","CORTEF","CORTEF TABLETS 10MG (HYDROCORTISONE 10MG)","CORTEF (HYDROCORTISONE 10MG)","H02AB09","HYDROCORTISONE",""
"00030929","marketed","CORTEF TABLETS 20 MG","CORTEF","CORTEF TABLETS 20 MG (HYDROCORTISONE 20MG)","CORTEF (HYDROCORTISONE 20MG)","H02AB09","HYDROCORTISONE",""
"00030937","marketed","PROVERA 5MG TABLETS","","PROVERA 5MG TABLETS (MEDROXYPROGESTERONE ACETATE 5MG)","","G03DA02","MEDROXYPROGESTERONE",""
"00030988","marketed","MEDROL 4 MG","","MEDROL 4 MG (METHYLPREDNISOLONE 4MG)","","H02AB04","METHYLPREDNISOLONE",""
"00035017","marketed","ISOPTO ATROPINE 1%","ALCON ATROPINE","ISOPTO ATROPINE 1% (ATROPINE SULFATE 1%)","ALCON ATROPINE (ATROPINE SULFATE 1%)","S01FA01","ATROPINE",""
"00035076","marketed","ALCAINE DPS 0.5%","ALCAINE","ALCAINE DPS 0.5% (PROXYMETACAINE HYDROCHLORIDE .5%)","ALCAINE (PROPARACAINE HYDROCHLORIDE 0.5%)","S01HA04","PROXYMETACAINE",""
"00035645","dormant","KEFLEX","","KEFLEX (CEPHALEXIN 250MG)","","J01DB01","CEFALEXIN",""
"00035971","cancelled","TAVIST TABLETS 1MG","","TAVIST TABLETS 1MG (CLEMASTINE (CLEMASTINE HYDROGEN FUMARATE) 1MG)","","R06AA04","CLEMASTINE",""
"00036129","marketed","MEDROL 16 MG","","MEDROL 16 MG (METHYLPREDNISOLONE 16MG)","","H02AB04","METHYLPREDNISOLONE",""
"00036137","marketed","SOLU-MEDROL","","SOLU-MEDROL (METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE) 1G)","","H02AB04","METHYLPREDNISOLONE",""
"00036145","cancelled","ASA TABLETS USP 325 MG","","ASA TABLETS USP 325 MG (ACETYLSALICYLIC ACID 325MG)","","N02BA01","ACETYLSALICYLIC ACID","Ischemic Heart disease;Stroke"
"00036323","marketed","LOMOTIL","","LOMOTIL (DIPHENOXYLATE HYDROCHLORIDE 2.5MG, ATROPINE SULFATE .025MG)","LOMOTIL (ATROPINE SULFATE .025MG, DIPHENOXYLATE HYDROCHLORIDE 2.5MG)","A07DA01;A07DA01","DIPHENOXYLATE;DIPHENOXYLATE",""
"00036641","marketed","XYLOCAINE 2%","","XYLOCAINE 2% (LIDOCAINE HYDROCHLORIDE 20MG)","","N01BB02","LIDOCAINE",""
"00037400","cancelled","NOVO-TRIPTYN TAB 10MG","","NOVO-TRIPTYN TAB 10MG (AMITRIPTYLINE HYDROCHLORIDE 10MG)","","N06AA09","AMITRIPTYLINE","Depression"
"00037419","cancelled","NOVO-TRIPTYN TAB 25MG","","NOVO-TRIPTYN TAB 25MG (AMITRIPTYLINE HYDROCHLORIDE 25MG)","","N06AA09","AMITRIPTYLINE","Depression"
