"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"andoz latanoprost","LATANOPROST","02375508","S01EE01","52:40.28","drug","","word","no"
"androgel","ANDROGEL","02245345","G03BA03","68:08.00","drug","","direct","no"
"AOR bone basics","Bone Basics","80030034","","","natural","","word",""
"aor vitmain c 1000 mg","C 1000","00700827","A11GA01","88:12.00","drug","","word","yes"
"Apo -atorvastatin","APO-ATORVASTATIN","02295261","C10AA05","24:06.08","drug","","simple","no"
"apo alfuzosin","ALFUZOSIN","02414759","G04CA01","12:16.04.12","drug","","word","no"
"apo allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","","word","no"
"apo atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"apo bisoprolol","BISOPROLOL","02321556","C07AB07","24:24.00","drug","","word","no"
"apo cilazapril","CILAZAPRIL","02345218","C09AA08","24:32.04","drug","","word","no"
"apo clonazepam","CLONAZEPAM","02344602","N03AE01","28:12.08","drug","","word","no"
"apo desipramine","DESIPRAMINE","02216248","N06AA01","28:16.04.28","drug","","word","no"
"apo diltiaz cd","APO-DILTIAZ CD","02230997","C08DB01","24:28.92","drug","","simple","no"
"apo divalproex","DIVALPROEX","02400499","N03AG01","28:12.92","drug","","word","no"
"apo esomeprazole","ESOMEPRAZOLE","02394839","A02BC05","56:28.36","drug","","word","no"
"apo esomeprazole plaq","ESOMEPRAZOLE","02394839","A02BC05","56:28.36","drug","","word","no"
"apo finasteride","FINASTERIDE","02348888","C02KX","92:08.00","drug","","word","no"
"apo flurazepam","FLURAZEPAM","00521698","N05CD01","28:24.08","drug","","word","no"
"apo furosemide","FUROSEMIDE","02351420","C03CA01","40:28.08","drug","","word","no"
"apo gliclazide","GLICLAZIDE","02287072","A10BB09","68:20.20","drug","","word","no"
"apo hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","","simple","no"
"apo hydrochlorothiazide","HYDROCHLOROTHIAZIDE","02360594","C03AA03","40:28.20","drug","YES","word","no"
"apo ismn","ISMN","02446073","C01DA14","24:12.08","drug","","word","no"
"apo lorazepam","LORAZEPAM","02351072","N05BA06","28:24.08","drug","","word","no"
"apo losartan hctz plaq","LOSARTAN","02388790","C09CA01","24:32.08","drug","","word","no"
"apo metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","","word","no"
"apo methoprazine","METHOPRAZINE","02238403","N05AA02","28:16.08.24","drug","","word","no"
"apo metoprolol","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"apo metoprolol l","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"apo naproxen","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","","word","no"
"apo omeprazole","OMEPRAZOLE","02339927","A02BC01","56:28.36","drug","","word","no"
"apo pantoprazole","PANTOPRAZOLE","02309858","A02BC02","56:28.36","drug","","word","no"
"apo ramipril","RAMIPRIL","02255316","C09AA05","24:32.04","drug","","word","no"
"Apo Risedronate 150 mg","RISEDRONATE","02347474","M05BA07","92:24.00","drug","","word","no"
"apo rosuvastatin","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","YES","word","no"
"apo rosuvastatin","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","","word","no"
"apo simvastatin","SIMVASTATIN","02284723","C10AA01","24:06.08","drug","","word","no"
"apo tamsulosin cr","TAMSULOSIN CR","02413612","G04CA02","12:16.04.12","drug","","word","no"
"apo tizanidine","TIZANIDINE","02259885","M03BX02","12:20.04","drug","","word","no"
"Apo- Hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","","simple","no"
"apo-acebutolol","APO-ACEBUTOLOL","02147602","C07AB04","24:24.00","drug","","direct","no"
"apo-amlodipine 5 mg","APO-AMLODIPINE","02273373","C08CA01","24:28.08","drug","","word","no"
"apo-atorvastatin 20mg","APO-ATORVASTATIN","02295261","C10AA05","24:06.08","drug","","word","no"
"apo-candesartan 8 mg","APO-CANDESARTAN","02365340","C09CA06","24:32.08","drug","","word","no"
"Apo-Clonidine 0.025mg","APO-CLONIDINE","02248732","C02AC01","24:08.16","drug","","word","no"
"Apo-Feno Micro","MICRO","02136996","D08AE55","84:04.92","drug","","word","no"
"apo-folic acid","Acid","80023450","","","natural","YES","word",""
"apo-hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","","direct","no"
"apo-hydro 25mg","APO-HYDRO","02327856","C03AA03","40:28.20","drug","","word","no"
"apo-lansoprazole 30mg","APO-LANSOPRAZOLE","02293811","A02BC03","56:28.36","drug","","word","no"
"Apo-Latanoprost","APO-LATANOPROST","02296527","S01EE01","52:40.28","drug","","direct","no"
"apo-latanoprost oph","APO-LATANOPROST","02296527","S01EE01","52:40.28","drug","","word","no"
"Apo-Metoprolol","APO-METOPROLOL","02246010","C07AB02","24:24.00","drug","","direct","no"
"Apo-Metronidazole","APO-METRONIDAZOLE","02406470","P01AB01","08:30.92","drug","","direct","no"
"apo-mometason nasal spray DIN 02403587","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","","code","no"
"apo-mometasone","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","","direct","no"
"apo-ranitidine","APO-RANITIDINE","02280833","A02BA02","56:28.12","drug","","direct","no"
"Apo-Risedronate  150mg","APO-RISEDRONATE","02353687","M05BA07","92:24.00","drug","","word","no"
"apo-sertraline","APO-SERTRALINE","02238280","N06AB06","28:16.04.20","drug","","direct","no"
"apo-simvastatin","APO-SIMVASTATIN","02247011","C10AA01","24:06.08","drug","","direct","no"
"apo-zopiclone 7.5 mg","APO-ZOPICLONE","02245077","N05CF01","28:24.92","drug","","word","no"
"apocelecoxib","APO-CELECOXIB","02418932","M01AH01","28:08.04.08","drug","YES","simple","no"
"apometoprolol sr","APO-METOPROLOL SR","02285169","C07AB02","24:24.00","drug","","simple","no"
"apple cider vinegar","Apple Cider Vinegar","80021269","","","natural","","direct",""
"apprilon 40 mg","APPRILON","02375885","J01AA02","08:12.24","drug","","word","no"
"Areds-Eye Care Formula","Areds Eye Care Formula With Lutein","80025777","","","natural","","simple",""
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","","direct","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","NO","direct","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","YES","direct","no"
"ASA  81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","simple","no"
"ASA -81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","simple","no"
"ASA 325MG","ASA 325MG","00530336","N02BA01","28:08.04.24","drug","","direct","no"
"ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","YES","direct","no"
"asa 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","direct","no"
"ASA 81 MG","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","DK-NA","direct","no"
"asa 81 mg aspirin","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","word","no"
"ASA 81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","simple","no"
"ASA DAILY DOSE 81MG","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","NO","word",""
"ASA Daily low dose","ASA DAILY LOW DOSE","02243101","B01AC06","28:08.04.24","drug","","direct","no"
"ASA81mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","simple","no"
"asacol","ASACOL","01997580","A07EC02","56:36.00","drug","","direct","no"
"asaphen","ASAPHEN","02009013","N02BA01","28:08.04.24","drug","","direct","no"
"asaphen 80 mg","ASAPHEN","02009013","N02BA01","28:08.04.24","drug","","word","no"
"asaphen e.c.","ASAPHEN E.C.","02238545","N02BA01","28:08.04.24","drug","","direct","no"
"asaphen ec","ASAPHEN EC","02247550","B01AC06","28:08.04.24","drug","","direct","no"
"Aspirin 81mg","ASPIRIN 81MG","02237726","B01AC06","28:08.04.24","drug","","direct","no"
"Aspirin daily low dose","Multivitamins & Multiminerals Formula For Women Tablet","02242937","","","natural","","word",""
"astaFX","Astafx","80025324","","","natural","","direct",""
"Astaxanthin","Astaxanthin","80034978","","","natural","","direct",""
"atacand","ATACAND","02239090","C09CA06","24:32.08","drug","","direct","no"
"ATACAND 8MG","ATACAND","02239090","C09CA06","24:32.08","drug","","word","no"
"atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","","direct","no"
"atenolol 50 mg","ATENOLOL","00828793","C07AB03","24:24.00","drug","","word","no"
"atio Domperidone","DOMPERIDONE","02238341","A03FA03","56:32.00","drug","","word","no"
"Ativan","ATIVAN","02041464","N05BA06","28:24.08","drug","","direct","no"
"atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","direct","no"
"atorvastatin 1-0 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin 10 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin 20  g","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin 20 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin 40 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin 40mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin 80 mg","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"atorvastatin ca","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"Atrovent","ATROVENT","00731439","R03BB01","12:08.08","drug","","direct","no"
"avamys","AVAMYS","02298589","R01AD12","52:08.08","drug","","direct","no"
"Avapro","AVAPRO","02237923","C09CA04","24:32.08","drug","","direct","no"
"avastin","AVASTIN","02270994","L01XC07","10:00.00","drug","","direct","no"
"Avastin","AVASTIN","02270994","L01XC07","10:00.00","drug","YES","direct","no"
"Avo-DART","AVODART","02247813","G04CB02","92:08.00","drug","","simple","no"
"avodart","AVODART","02247813","G04CB02","92:08.00","drug","","direct","no"
"Axiron","AXIRON","02382369","G03BA03","68:08.00","drug","","direct","no"
"axiron DIN 02382369","AXIRON","02382369","G03BA03","68:08.00","drug","","code","no"
"azopt","AZOPT","02238873","S01EC04","52:40.12","drug","","direct","no"
"B","B Complex With 300 Mg Vitamin C","80006798","","","natural","","direct",""
"b 100 complex","B 100 Complex","02244257","","","natural","","direct",""
"b 12, 6, folic acid","FOLIC ACID","02240313","B03BB01","88:08.00","drug","","word","yes"
"b 50 complex","B 50 Complex","02244258","","","natural","","direct",""
"B Complex","B Complex","02239815","","","natural","","direct",""
"B complex","B Complex","02239815","","","natural","NO","direct",""
"B complex +vit C","B Complex","02239815","","","natural","","word",""
"B Vitamins witn Vitamin C","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"B-100","B-100 Complex Timed Release","80016818","","","natural","","direct",""
"B-100","B-100 Complex Timed Release","80016818","","","natural","YES","direct",""
"B-12 Complex","Vitamin B-12 1000 Mcg","80072924","","","natural","","word",""
"B100","B100 Complex","02247479","","","natural","NO","direct",""
"B100","B100 Complex","02247479","","","natural","","direct",""
"B100 complex","B100 Complex","02247479","","","natural","","direct",""
"B100 Complex","B100 Complex","02247479","","","natural","NO","direct",""
"B12","B12","80002409","","","natural","","direct",""
"B12","B12","80002409","","","natural","YES","direct",""
"b12","B12","80002409","","","natural","NO","direct",""
"B12 50 mcg","B12 50 Mcg","80001988","","","natural","","direct",""
"B12 with Folic Acid","FOLIC ACID","02240313","B03BB01","88:08.00","drug","","word","yes"
"b50","B50","02245982","","","natural","NO","direct",""
"B50","B50","02245982","","","natural","","direct",""
"B50 COMPLEX","B50 COMPLEX","02247911","A11EA","88:08.00","drug","","direct","yes"
"b50 vitamin comlpex","Daily Multi Vitamin","80067478","","","natural","NO","word",""
"B6","B6","80060807","","","natural","","direct",""
"B6/B12/folic acid","Acid","80023450","","","natural","NO","word",""
"Bamboo silica","Bamboo Silica","80006183","","","natural","","direct",""
"Barley Max Berry (Halleluijah Acres)","Barley","80024879","","","natural","","word",""
"bausch and lomb preservision eye vitamin and mineral supplement","Daily Multi Vitamin","80067478","","","natural","","word",""
"bee pollen","Bee Pollen","80033471","","","natural","NO","direct",""
"Bell Natural Superior Stop Hair Loss Treatment #77","Hair","80033462","","","natural","","word",""
"bentylol","BENTYLOL","02102978","A03AA07","12:08.08","drug","","direct","no"
"betacarotene","BETA CAROTENE","00554790","A11CA01","88:04.00","drug","","simple","yes"
"betaseron","BETASERON","02169649","L03AB08","92:20.00","drug","","direct","no"
"bio c gel","Vitamin C 500 Mg With Berryrich","80028837","","","natural","","simple",""
"bio hydrochlorothiazide","HYDROCHLOROTHIAZIDE","02360594","C03AA03","40:28.20","drug","","word","no"
"BioCal D","Biocal-D","80004143","","","natural","","simple",""
"biocal d forte","Forte","80066882","","","natural","","word",""
"biocal d forte 500 mg","Forte","80066882","","","natural","","word",""
"biocal d forte 500 mg -400 ui","Forte","80066882","","","natural","","word",""
"biocal d forte 500 mg 400 ui","Forte","80066882","","","natural","","word",""
"biocal d forte 500mg -400ui , CO","Forte","80066882","","","natural","","word",""
"biocal forte","Forte","80066882","","","natural","","word",""
"biocal-d","Biocal-D","80004143","","","natural","","direct",""
"biocal-D forte","Biocal-D Forte","80012594","","","natural","","direct",""
"BioCell Collagen","Biocell Collagen","80034311","","","natural","","direct",""
"Biologicalbotanicals digestive enzrceyme vegetarian sou","Digestive","80030195","","","natural","","word",""
"biomed-biocal D forte","Forte","80066882","","","natural","","word",""
"biotin","BIOTIN","00712507","","","drug","NO","direct","yes"
"Bisoprolol","BISOPROLOL","02321556","C07AB07","24:24.00","drug","","direct","no"
"bisoprolol 1.25 mg","BISOPROLOL","02321556","C07AB07","24:24.00","drug","","word","no"
"Bisoprolol 5mg","BISOPROLOL","02321556","C07AB07","24:24.00","drug","","word","no"
"bisoprolol fumarate","BISOPROLOL","02321556","C07AB07","24:24.00","drug","","word","no"
"Bisoprolol fumarate 5 mg","BISOPROLOL","02321556","C07AB07","24:24.00","drug","","word","no"
"black cohosh with dong quoi","Black Cohosh","80000142","","","natural","NO","word",""
"Blood builder, iron supplement","IRON","02049732","B03AE10","88:29.00","drug","","word","yes"
"blood pressure medication","Blood Pressure","80057364","","","natural","","word",""
"blue green algae","Spirulina 1000 Mg","80064449","","","natural","","direct",""
"blueberry antioxident","Blueberry","80007359","","","natural","","word",""
"blueberry pills","Blueberry","80007359","","","natural","NO","word",""
"bois de velours","Bois De Velours","80034014","","","natural","YES","direct",""
"Bone Basics","Bone Basics","80030034","","","natural","","direct",""
"Bone Basics","Bone Basics","80030034","","","natural","NO","direct",""
"bone builder","Bone Builder","80025338","","","natural","","direct",""
"bone builder Calcium 168mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Boost","Boost","80059536","","","natural","","direct",""
"Boost Diabetic","Boost","80059536","","","natural","","word",""
"bromocriptine","BROMOCRIPTINE","02087324","N04BC01","28:36.20.04","drug","","direct","no"
"Bupropion SR 100mg","BUPROPION SR","02325357","N06AX12","28:16.04.92","drug","","word","no"
"Butter Oil/Fermeneted Cod Liver Oil Blend","COD LIVER OIL","00179957","A11CB","88:04.01","drug","NO","word","yes"
"C","Vitamin C 500 Mg Chewable Tablet","80061785","","","natural","","direct",""
"c extra","C Extra","02240293","","","natural","","direct",""
"cal 500","Cal-500","80017732","","","natural","","simple",""
"CAL APATITE/ MAGNESIUM","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Cal Mag","Cal Mag","80014724","","","natural","NO","direct",""
"Cal Mag","Cal Mag","80014724","","","natural","","direct",""
"cal mag raspberry liquid","Cal Mag","80014724","","","natural","NO","word",""
"Cal-Mag 2:1","Cal-Mag","00696390","","","natural","","word",""
"Cal-Mag+zinc","Cal Mag Zinc","80050515","","","natural","","simple",""
"cal-os d","Cal-Os D","80015847","","","natural","","direct",""
"Cal/Mag/D","CAL/MAG+D","00695300","A12AX","88:28.01","drug","","simple","no"
"Calcia","Calcia","80000158","","","natural","","direct",""
"calcia 400-D","Calcia","80000158","","","natural","","word",""
"calcia et vitamine d 500 mg et 400 ui8","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcia vit D","Calcia","80000158","","","natural","","word",""
"calcite 500 + D 400","Calcite 500 D 400","80004963","","","natural","","simple",""
"calcite 500 mg - 400 UI vitamine D","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"calcite 500+D400","Calcite 500 D 400","80004963","","","natural","","simple",""
"Calcium","CALCIUM","02175584","A12AA","88:29.00","drug","","direct","yes"
"Calcium","CALCIUM","02175584","A12AA","88:29.00","drug","NO","direct","yes"
"calcium","CALCIUM","02175584","A12AA","88:29.00","drug","YES","direct","yes"
"Calcium   1000mg","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium  plus D3 500mg/1000iu","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium & D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium & magesium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium & magnesium","CALCIUM & MAGNESIUM","02245339","A12AX","88:29.00","drug","","direct","yes"
"Calcium & magnesium citrate with D","Calcium & Magnesium Citrate With D","80005145","","","natural","NO","direct",""
"Calcium & magnesium with Zinc","Calcium & Magnesium With Zinc","80019200","","","natural","","direct",""
"Calcium & Vitamin D","CALCIUM & VITAMIN D","02240765","A12AX","88:28.01","drug","","direct","yes"
"calcium &Magnesium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium + 600 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium + D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium + D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium + D3  650mg / 400IU","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"calcium + D3 605mg/400iu","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
