"input","match","database","type","matches","both"
"apo-simvastatin","APO-SIMVASTATIN","drug","direct","1","no"
"Apo-Tramadol/Acet","APO-TRAMADOL/ACET","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"asa","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA","ASA","drug","direct","1","no"
"ASA 325MG","ASA 325MG","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","drug","direct","1","no"
"ASA 81 MG","ASA 81 MG","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","drug","direct","1","no"
"ASA 81 mg","ASA 81 MG","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","drug","direct","1","no"
"ASA 81 MG","ASA 81 MG","drug","direct","1","no"
"asa 81 mg","ASA 81 MG","drug","direct","1","no"
"ASA 81 MG","ASA 81 MG","drug","direct","1","no"
"ASA Daily low dose","ASA DAILY LOW DOSE","drug","direct","1","no"
"asacol","ASACOL","drug","direct","1","no"
"asacol","ASACOL","drug","direct","1","no"
"Asacol","ASACOL","drug","direct","1","no"
"asaphen","ASAPHEN","drug","direct","1","no"
"asaphen","ASAPHEN","drug","direct","1","no"
"asaphen","ASAPHEN","drug","direct","1","no"
"asaphen e.c.","ASAPHEN E.C.","drug","direct","1","no"
"asaphen ec","ASAPHEN EC","drug","direct","1","no"
"asaphen ec","ASAPHEN EC","drug","direct","1","no"
"Asaphen EC","ASAPHEN EC","drug","direct","1","no"
"Aspirin 81mg","ASPIRIN 81MG","drug","direct","1","no"
"Aspirin 81mg","ASPIRIN 81MG","drug","direct","1","no"
"atacand","ATACAND","drug","direct","1","no"
"Atacand","ATACAND","drug","direct","1","no"
"atacand","ATACAND","drug","direct","1","no"
"Atacand","ATACAND","drug","direct","1","no"
"Atacand","ATACAND","drug","direct","1","no"
"Atacand","ATACAND","drug","direct","1","no"
"Atacand","ATACAND","drug","direct","1","no"
"Atacand","ATACAND","drug","direct","1","no"
"Atacand Plus","ATACAND PLUS","drug","direct","1","no"
"atacand plus","ATACAND PLUS","drug","direct","1","no"
"atacand plus","ATACAND PLUS","drug","direct","1","no"
"Atacand plus","ATACAND PLUS","drug","direct","1","no"
"atenolol","ATENOLOL","drug","direct","1","no"
"Atenolol","ATENOLOL","drug","direct","1","no"
"atenolol","ATENOLOL","drug","direct","1","no"
"atenolol","ATENOLOL","drug","direct","1","no"
"atenolol","ATENOLOL","drug","direct","1","no"
"Ativan","ATIVAN","drug","direct","1","no"
"ativan","ATIVAN","drug","direct","1","no"
"Ativan","ATIVAN","drug","direct","1","no"
"atorvastatin","ATORVASTATIN","drug","direct","1","no"
"atorvastatin","ATORVASTATIN","drug","direct","1","no"
"atorvastatin","ATORVASTATIN","drug","direct","1","no"
"Atrovent","ATROVENT","drug","direct","1","no"
"atrovent","ATROVENT","drug","direct","1","no"
"avalide","AVALIDE","drug","direct","1","no"
"Avalide","AVALIDE","drug","direct","1","no"
"avalide","AVALIDE","drug","direct","1","no"
"Avalide","AVALIDE","drug","direct","1","no"
"Avalide","AVALIDE","drug","direct","1","no"
"Avamys","AVAMYS","drug","direct","1","no"
"avamys","AVAMYS","drug","direct","1","no"
"Avapro","AVAPRO","drug","direct","1","no"
"Avastin","AVASTIN","drug","direct","1","no"
"Avastin","AVASTIN","drug","direct","1","no"
"avastin","AVASTIN","drug","direct","1","no"
"Avodart","AVODART","drug","direct","1","no"
"Avodart","AVODART","drug","direct","1","no"
"avodart","AVODART","drug","direct","1","no"
"Axiron","AXIRON","drug","direct","1","no"
"Azarga","AZARGA","drug","direct","1","no"
"azopt","AZOPT","drug","direct","1","no"
"B50 Complex","B50 COMPLEX","drug","direct","1","yes"
"B50 COMPLEX","B50 COMPLEX","drug","direct","1","yes"
"bentylol","BENTYLOL","drug","direct","1","no"
"betaseron","BETASERON","drug","direct","1","no"
"biotin","BIOTIN","drug","direct","1","yes"
"bisoprolol","BISOPROLOL","drug","direct","1","no"
"Bisoprolol","BISOPROLOL","drug","direct","1","no"
"Bisoprolol","BISOPROLOL","drug","direct","1","no"
"Bisoprolol","BISOPROLOL","drug","direct","1","no"
"BISOPROLOL","BISOPROLOL","drug","direct","1","no"
"Bisoprolol","BISOPROLOL","drug","direct","1","no"
"bromocriptine","BROMOCRIPTINE","drug","direct","1","no"
"caduet","CADUET","drug","direct","1","no"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"CALCIUM","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"CALCIUM","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"CALCIUM","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
"Calcium","CALCIUM","drug","direct","1","yes"
"calcium","CALCIUM","drug","direct","1","yes"
